Recency,Frequency,Monetary
232,13,225.15
60,63,768.82
29,5,91.68
464,100,4057.9
7,311,2170.78
112,35,612.29
14,443,2442.29
58,29,376.64
57,23,641.4
432,3,62.4
309,33,280.53000000000003
22,505,8718.43
534,1,6.300000000000001
469,125,2215.78
149,6,402.0
156,37,688.2
137,16,200.47
7,489,7190.42
264,14,284.5
730,33,338.13
245,14,266.4
130,13,498.48
612,42,304.17
19,72,1382.74
397,40,463.53
57,26,472.39
127,35,730.86
5,582,4350.32
4,143,2153.41
12,225,2761.65
225,47,792.15
560,27,393.72
24,31,1376.87
49,260,3934.79
65,5,90.6
110,229,1841.71
500,40,396.39
459,88,821.35
129,22,919.61
11,68,1314.81
74,7,145.67000000000002
358,138,1962.01
266,59,1131.04
733,23,188.69
112,140,2551.41
257,72,1169.68
201,17,310.85
16,63,1889.25
315,152,3426.32
530,39,684.54
723,16,307.95
473,8,123.5
547,11,173.95
371,96,1169.6100000000001
39,33,709.64
511,35,1220.9
17,247,6407.83
11,48,783.96
618,25,367.54
96,77,280.76
116,36,973.88
168,34,623.16
37,223,1350.48
64,45,1158.79
26,344,3773.35
359,23,412.06
65,219,6583.36
726,33,875.97
3,88,648.26
38,20,437.82
218,96,1712.26
436,78,1179.45
311,18,316.26000000000005
47,657,3053.06
618,11,76.23
14,984,11986.52
420,3,6001.49
331,51,1017.03
30,67,1004.38
266,66,252.81
50,325,1630.91
66,207,6948.92
581,95,1593.83
395,20,416.6
50,59,1160.72
63,16,221.06
135,10,472.78
33,336,3767.09
239,23,429.6
417,25,457.7
39,231,2718.6
434,60,226.86
72,310,5676.34
7,11,269.96
445,5,135.18
10,98,1071.91
114,36,605.0600000000001
8,59,1013.17
386,6,127.0
22,45,661.3199999999999
116,44,1706.88
385,4,65.34
107,32,1314.45
32,90,922.16
400,9,223.98
29,98,1795.3500000000001
290,88,5307.07
28,186,4008.52
8,142,869.77
30,17,1927.3
127,19,168.31
81,32,735.51
431,24,350.35
534,25,110.95
725,8,162.25
1,82,1031.41
211,183,5164.88
211,154,3156.38
163,3,508.8
144,1200,16498.97
456,210,1965.72
598,20,337.4
128,95,1357.46
738,1,141.0
92,60,991.13
543,1,305.28000000000003
432,14,266.4
24,42,703.47
53,20,351.13
432,92,452.78000000000003
70,8,341.36
408,44,167.08
91,34,716.35
77,86,1403.73
544,17,664.1999999999999
214,17,111.15
119,207,6520.3
446,53,306.19
551,19,209.48
389,51,481.58
450,10,168.69000000000003
9,14,202.11
29,41,352.98
319,129,9443.04
106,36,625.3
273,61,812.5
1,4,270.6
239,16,416.64
71,84,1777.49
151,21,447.05
22,556,11767.48
358,30,476.35
43,11,256.4
78,6,159.0
177,81,1755.94
633,62,374.45
422,13,340.33
151,521,1981.06
149,11,179.17
8,102,962.94
393,31,502.52
50,67,1120.1
196,28,455.88
24,8,271.40000000000003
12,484,2365.4900000000002
576,187,4536.64
9,51,1342.32
75,86,1222.5
10,268,11202.59
379,31,209.89000000000001
8,47,911.26
60,373,2788.06
19,19,371.2
436,11,162.0
422,6,321.3
4,45,348.8
4,636,3450.41
3,476,12021.53
148,230,1452.39
0,620,2661.17
18,1266,14115.56
721,10,294.0
42,155,4182.99
12,231,3490.5299999999997
357,13,220.55
256,5,1914.6999999999998
32,194,3634.84
7,96,2050.08
150,110,2541.29
5,74,1230.02
387,2,1025.1
24,361,1739.09
3,82,1255.59
59,307,17629.35
196,111,2151.11
245,60,1291.24
17,117,625.38
7,59,1407.1200000000001
213,16,311.3
50,43,874.25
577,1,88.5
176,26,685.45
457,24,566.9
107,30,1733.8899999999999
119,108,1824.49
42,108,5059.32
234,16,280.55
87,75,1267.32
724,13,454.54
63,246,4094.37
70,48,1917.99
225,34,1417.95
168,286,3987.07
383,199,1191.23
5,71,2031.78
30,78,1316.07
78,28,625.52
29,78,1278.06
358,65,2938.52
0,720,31466.760000000002
79,6,1862.0
17,31,3204.1600000000003
187,79,1215.97
411,47,880.62
428,2,623.98
14,14,2046.0
669,9,314.1
78,53,1336.0900000000001
358,4,76.55
21,63,551.21
71,74,1006.53
1,418,1071.73
4,20,342.45
588,21,146.56
157,59,492.52
546,1,1000.63
35,179,4304.89
385,15,224.51
106,33,1520.96
56,204,3851.52
28,139,1068.16
64,8,287.4
415,237,1140.11
211,35,1299.49
191,86,1431.78
37,26,332.64
735,38,424.03
36,30,183.76
375,143,1609.37
50,69,1573.2
12,82,386.69
540,154,1511.94
71,45,957.97
74,65,462.12
366,7,168.6
22,47,1085.7
203,59,394.93
10,225,1254.64
2,40,915.13
85,1,2033.1
40,69,677.0
5,147,1019.27
2,213,829.47
10,285,5476.5
261,15,529.4
33,356,2975.91
94,10,302.36
472,34,1450.5
536,21,467.5
15,167,3440.3399999999997
7,98,732.07
44,167,4067.38
463,28,592.24
289,1,101.69999999999999
463,74,1275.81
50,50,953.58
372,39,623.0
63,25,826.74
70,21,310.62
65,125,2416.9
24,135,3718.8
51,117,1778.96
52,97,3610.96
24,9,591.4
114,319,2864.68
15,205,3697.93
32,253,1744.42
29,17,183.44
570,27,348.59
381,21,301.25
29,52,981.18
437,26,132.24
725,6,93.35000000000001
453,121,1286.6200000000001
9,676,5115.76
12,132,924.14
555,21,395.1
388,80,404.55
448,40,613.08
578,19,741.85
262,22,451.11
9,104,891.21
50,44,749.1
23,604,11727.94
3,545,22992.260000000002
129,301,5416.32
66,346,1723.4
31,16,260.0
57,344,1450.04
367,25,422.2
666,23,380.0
157,15,1019.52
514,41,225.81
288,56,242.26
21,738,15407.61
10,14,246.3
70,370,2919.62
129,6,3757.6
28,279,2481.6
214,5,354.12
57,98,386.32
282,102,623.46
47,45,380.02
7,41,538.46
64,76,1449.03
537,14,3358.3999999999996
404,17,147.35
10,289,6117.5
3,299,4735.08
17,303,2203.2400000000002
128,10,307.32
179,85,772.41
733,12,204.24
70,55,453.64
29,37,1249.6200000000001
423,7,124.95
8,253,2529.93
19,12,219.0
474,18,382.81
106,5,51.559999999999995
642,39,596.67
737,6,87.30000000000001
26,255,4248.74
1,826,50174.782
10,34,218.75
16,7,795.2299999999999
501,22,622.6700000000001
485,88,374.05
695,11,332.7
429,9,200.82
8,363,7217.75
38,59,1247.69
443,38,860.08
268,20,301.9
64,9,312.98
553,112,957.25
22,107,2110.91
296,19,325.2
232,20,336.09
3,173,9795.460000000001
296,13,363.7
16,319,14335.15
35,58,560.86
77,29,454.10999999999996
141,82,342.22
544,45,224.94
654,52,207.04
423,32,456.4
555,38,658.02
2,65,1191.13
240,94,1582.77
366,18,663.31
26,97,572.56
2,68,1286.7
505,143,2956.56
5,29,247.15
442,38,722.5600000000001
423,21,348.16
33,10,267.28000000000003
3,400,12987.95
383,12,176.9
137,25,191.95000000000002
42,261,6775.71
25,286,7928.27
19,114,1775.68
10,33,586.0
31,61,1086.92
401,38,1993.34
166,232,803.54
1,17,534.06
33,221,3881.2200000000003
371,3,39.75
374,33,133.34
380,79,2209.98
60,125,2216.37
32,113,1980.0
58,64,1180.05
21,66,3175.12
22,37,151.5
400,143,1941.1200000000001
15,176,1320.21
446,34,931.12
397,112,1017.53
63,18,840.08
476,8,126.05000000000001
9,192,874.43
507,19,917.4300000000001
630,1,322.69
17,138,5097.18
583,4,192.05
367,52,816.9300000000001
22,306,4544.55
467,32,632.39
180,17,201.14
96,201,1475.79
581,10,385.2
71,40,1033.0
36,173,1840.73
99,10,165.0
1,253,3628.5
302,348,1688.26
375,86,368.31
388,22,462.08
67,116,2511.69
198,44,964.6999999999999
665,1,0.0
388,33,119.92
7,268,4939.99
22,127,817.12
2,61,987.1
106,213,3614.34
610,11,187.35000000000002
49,226,5133.49
15,174,2478.95
701,8,140.22000000000003
128,83,522.0
372,57,321.79
119,110,1962.3
137,57,6017.06
15,84,1418.32
12,216,2499.81
16,46,851.01
7,25,6640.68
58,335,5319.34
19,55,609.89
469,93,2016.71
455,32,221.65
252,14,571.3
683,20,344.75
3,54,896.6
9,129,1763.15
19,311,1006.75
217,409,12823.521
266,8,2149.6800000000003
1,25,439.92
21,368,3702.6
81,12,675.3
47,92,761.96
15,357,8886.33
16,118,3660.08
372,155,3882.17
548,16,164.18
44,90,384.04
606,19,303.63
1,76,1245.9
365,30,552.08
66,232,3950.7
43,15,239.41
640,3,60.0
394,2,70.80000000000001
218,50,1063.76
72,215,4393.63
450,27,426.53000000000003
155,113,5375.741
151,25,486.82000000000005
26,279,1193.6299999999999
44,4,30.950000000000003
442,27,210.5
425,68,449.42
2,41,1341.6
33,133,2361.9
457,27,782.95
392,72,1192.94
417,135,2146.38
386,47,263.49
409,16,259.09
21,3,739.1999999999999
675,7,176.1
656,31,205.35999999999999
375,22,355.5
2,200,3586.0299999999997
284,18,94.05
36,58,1274.44
25,149,11962.3
7,900,25119.54
51,201,4316.56
430,192,3881.89
94,56,1895.8
24,44,682.9100000000001
605,23,454.36
579,24,403.39
416,24,683.9200000000001
49,9,1019.36
394,64,172.6
291,416,4848.05
362,9,135.39999999999998
63,30,1673.5
178,57,1026.18
276,174,3747.84
380,8,151.49
25,5,106.56
18,91,1569.73
407,407,3292.84
492,20,468.65
17,152,2883.1
10,35,653.33
605,45,324.51
264,5,211.5
151,193,3345.64
106,9,138.14
271,49,285.33
4,299,5333.08
16,19,364.72
330,23,402.71
684,7,126.45
42,216,4002.17
23,194,803.9
395,31,489.86
7,307,3856.9700000000003
2,941,24972.86
267,22,362.71
15,148,14417.36
75,14,302.2
581,5,131.15
25,294,7956.46
242,23,620.27
101,148,1553.47
96,349,4648.59
4,256,5578.28
242,31,516.45
737,12,221.53
140,42,577.54
49,43,677.72
166,204,2354.29
18,2,1231.5
22,114,2419.61
659,17,246.22
21,81,829.89
10,225,5381.08
75,69,1080.76
312,48,2303.09
39,47,8409.6
89,23,378.64
11,63,2919.81
543,12,225.4
134,69,1065.08
428,201,1079.29
103,171,3236.4
561,29,496.15999999999997
119,60,1038.92
456,30,447.05
190,61,582.88
470,7,129.85
121,62,1253.76
57,326,6817.37
732,31,163.77
46,24,388.58
382,68,1276.66
1,247,891.98
686,15,256.6
254,360,2794.4700000000003
422,55,987.48
547,237,2984.32
44,253,3440.45
451,81,770.03
220,28,446.62
400,17,396.71
31,266,2041.8
512,57,1182.3799999999999
565,17,360.08
19,288,1818.6
418,27,190.57
61,8,557.62
386,106,1711.6599999999999
23,2,256.32
12,82,852.88
189,28,506.8
39,79,1575.89
15,599,11762.1
529,34,708.1
4,45,1346.97
431,86,1774.68
268,29,439.03
521,47,829.25
520,6,113.64999999999999
541,2,20.6
58,27,355.56
5,373,12518.65
593,25,360.85
31,98,463.21
159,31,154.55
653,17,352.821
734,5,130.32
219,1,534.24
17,62,1305.33
725,3,45.300000000000004
3,152,2654.11
36,28,378.2
17,13,161.67000000000002
281,15,306.94
240,10,185.04999999999998
543,22,114.69
148,54,1710.39
0,165,2622.39
10,4,712.8000000000001
10,3,77.4
92,98,547.9
61,62,324.24
56,315,6274.56
264,66,1584.97
44,224,4459.98
169,218,1738.16
9,394,7623.79
11,134,1919.0
7,124,976.62
487,4,357.6
115,6,543.05
263,50,573.45
15,32,537.48
14,392,3513.62
31,133,8356.79
58,466,3429.29
40,107,1278.75
7,6,92.52000000000001
38,41,357.21
541,41,395.07
43,142,3103.13
4,28,547.07
29,29,1013.01
192,37,591.85
462,21,136.31
25,244,13517.76
11,31,460.68
155,31,187.29
620,34,487.34999999999997
421,72,2052.69
64,163,1102.9
22,785,4783.66
103,44,1124.49
4,244,11573.62
5,71,972.04
170,12,237.61
437,5,33.099999999999994
410,48,381.15
297,1,3.75
58,30,501.56
421,19,327.68
80,82,3156.17
621,9,131.25
36,219,4006.06
70,309,6709.7300000000005
416,167,1099.81
93,8,128.5
163,75,1594.23
36,103,2849.84
36,65,1290.53
113,85,17239.2
549,2,1147.02
19,110,630.22
393,13,591.96
11,600,3892.35
729,23,204.26
219,4,203.86999999999998
4,1152,9519.8
64,127,2626.3
660,12,427.0
72,13,1486.2
211,18,266.59000000000003
61,88,409.21
432,23,601.03
0,143,9978.48
10,393,6388.2
442,48,1182.22
427,5,1020.9000000000001
10,6,102.44999999999999
43,33,257.67
105,14,449.52
32,100,3314.76
65,6,108.38
395,64,1092.06
18,114,1878.93
81,64,402.7
2,188,4124.69
4,56,27347.04
19,242,4721.17
161,28,405.38
5,146,664.11
144,110,1932.41
329,191,1441.06
420,26,432.68
4,527,3651.19
476,15,333.18
277,20,315.6
252,71,1153.85
234,106,1113.14
109,384,2064.71
18,3,43.2
352,19,639.65
389,49,891.02
30,11,219.5
376,112,399.75
420,12,149.3
509,31,119.86
74,41,708.26
207,40,1303.9099999999999
50,119,599.56
268,9,944.1
16,172,3288.0
38,64,1826.89
670,16,106.75
687,2,157.8
185,137,2952.06
512,12,167.62
409,11,1449.1399999999999
28,95,1541.2
40,41,507.66
432,77,617.72
42,376,34281.18
162,13,127.1
80,14,242.35
87,21,364.5
196,101,9839.460000000001
46,69,1086.8
572,38,142.71
379,100,1074.47
2,1868,172132.87
498,21,400.2
394,7,80.28
414,110,694.54
93,54,1455.56
623,6,219.39999999999998
12,156,846.62
148,62,1348.95
36,164,2855.17
79,152,2634.26
438,63,823.53
369,177,3006.08
5,357,4001.64
1,73,1070.71
22,1,30.0
460,9,158.02
26,60,974.52
142,183,666.96
130,25,1880.51
359,39,290.34
10,220,4065.28
413,127,638.49
325,34,77556.46
58,175,2491.38
246,12,306.55
3,700,2790.9500000000003
364,45,824.9200000000001
39,586,3924.91
51,339,25317.06
173,249,1091.34
176,31,455.3
86,205,2209.69
46,11,130.73999999999998
42,37,672.8
18,81,1125.15
179,59,939.66
492,1,35.7
275,24,120.44
201,48,506.04
65,12,331.65999999999997
157,85,1906.07
680,28,422.7
184,21,417.61
8,241,3750.63
10,8,194.8
18,80,1166.23
659,1,37.5
33,51,409.1
288,12,702.0
4,7,90.04
428,41,833.53
85,36,627.16
50,87,904.52
185,5,175.82999999999998
438,45,11880.84
219,196,3898.79
21,82,1422.4
64,26,1408.24
4,54,1077.45
89,21,2190.14
0,691,43515.051
429,5,61.28
420,35,124.45
1,48,970.52
7,183,4656.17
122,5,666.48
432,32,509.04
23,258,3216.7400000000002
57,116,1616.54
420,1,90.0
57,23,1090.14
8,126,3137.96
4,17,419.18
297,1,122.39999999999999
14,71,1188.1200000000001
563,10,36.13
117,53,1992.18
668,40,319.14
653,6,82.4
599,6,1047.0
25,19,595.42
58,24,447.92
390,54,364.93
541,7,108.0
19,771,22254.49
54,102,2416.9
394,11,197.31
406,80,1273.47
66,23,383.95
94,55,922.39
16,98,2634.44
263,30,417.57
11,201,10150.51
53,240,4402.29
3,36,680.99
498,60,973.73
36,44,1207.56
7,26,471.78000000000003
24,44,384.39
25,245,971.32
18,24,570.48
84,302,9056.01
70,23,443.05
5,310,5866.63
8,128,5982.03
579,11,175.25
50,52,1163.45
19,909,5921.35
477,17,328.95
578,16,135.39
241,30,135.19
406,9,593.5
28,35,1499.01
25,72,1247.61
44,50,954.09
7,127,3140.54
1,330,2740.65
45,3,95.85
316,17,1308.48
8,349,12160.31
512,125,1003.0699999999999
3,119,2903.01
194,12,207.15
392,11,176.5
400,40,306.64
2,381,5690.89
392,27,184.66
672,4,234.0
266,6,118.75
260,23,335.32
10,306,10360.67
25,17,331.0
8,425,5601.01
630,43,240.95
662,16,181.35
53,16,281.15
4,134,788.15
448,200,1273.16
66,31,111.68
273,13,516.42
74,59,1346.27
173,4,734.4
4,482,10020.86
443,4,1770.0
173,25,404.3
113,85,2098.48
217,28,952.41
60,62,1052.8700000000001
22,11,1717.36
36,28,609.85
448,3,229.2
78,178,1310.63
21,46,468.41
541,20,127.28
28,132,811.23
393,7,4511.76
54,93,304.24
425,63,1056.42
4,90,3080.1800000000003
45,430,1781.59
26,65,3546.65
42,11,219.39000000000001
276,79,615.17
541,12,114.85
381,69,530.86
16,33,780.5
486,23,925.41
36,10,151.05
529,52,369.68
21,116,2145.34
50,122,1952.17
7,31,584.07
619,3,30.1
18,371,1580.29
401,12,262.4
1,200,1217.27
205,274,4884.68
7,12,178.05
9,153,6204.41
19,19,357.20000000000005
11,84,471.40000000000003
3,261,2521.4
113,53,827.6800000000001
417,49,800.18
56,400,2236.77
485,15,282.3
261,24,396.87
439,16,295.73
2,874,16790.33
297,21,821.1
10,3093,12781.8
169,57,3494.1
78,294,6217.41
114,227,4487.27
544,17,570.66
675,16,208.0
233,27,267.03
9,55,1298.66
77,55,2675.37
72,290,3112.19
18,6,292.2
87,7,117.35000000000001
58,92,2437.31
266,20,344.90000000000003
4,292,10496.28
282,58,1166.83
57,51,814.07
70,374,3764.39
75,133,1997.3400000000001
101,43,211.89
413,17,366.4
383,16,330.35
296,7,142.4
169,55,1285.51
28,34,384.52
662,1,59.400000000000006
381,36,640.13
22,33,852.15
4,952,18670.59
21,122,2253.89
60,1302,13837.94
28,30,162.22
8,824,6995.360000000001
435,21,384.26
374,108,921.5600000000001
292,83,505.82
330,62,1341.8500000000001
5,923,21323.22
395,35,920.46
637,6,405.0
8,152,3968.11
394,48,951.76
4,108,2157.4
56,1,20.8
3,216,56078.44
95,147,3723.87
28,238,1376.43
218,17,830.9300000000001
211,91,1522.75
23,59,1129.14
236,15,232.48000000000002
414,219,852.53
23,226,2758.29
89,179,2930.41
18,51,1313.19
198,22,949.9
365,67,1159.99
283,12,685.9
303,8,118.95000000000002
19,255,12100.4
11,149,7730.59
591,72,4157.88
634,55,2282.28
722,27,447.53000000000003
189,102,1689.53
379,25,109.07
637,12,194.7
16,267,5051.25
21,160,1807.44
9,340,25585.65
217,73,725.53
264,57,293.45
9,61,4014.1
360,124,2501.9900000000002
2,353,24151.3
157,128,2445.62
3,938,2664.9
187,73,884.1800000000001
691,25,6798.72
543,12,190.48000000000002
411,55,1015.74
177,62,833.78
176,2,46.95
464,69,382.06
117,26,524.54
61,452,1757.75
23,60,536.99
8,427,8077.77
17,34,554.65
29,721,4864.57
418,89,652.75
11,285,8698.13
52,65,1193.32
50,28,457.72
395,2,100.35
37,166,3326.86
439,22,350.85
227,11,205.7
40,69,1983.48
17,5,192.60000000000002
674,23,349.25
560,21,217.73
108,21,418.09999999999997
379,227,4709.2300000000005
733,24,436.18
19,67,556.13
3,124,2112.12
383,48,238.86
472,1,81.12
2,270,5740.98
16,603,9763.16
70,192,3229.16
395,23,1189.3799999999999
198,50,361.12
676,5,282.76
234,27,210.1
75,53,1440.4
554,169,841.16
179,70,1109.53
247,13,206.21
455,1,979.1999999999999
8,456,9450.3
319,6,200.10000000000002
509,14,173.66
407,8,107.24
374,158,548.22
196,8,134.04
379,40,211.99
81,126,6391.52
437,109,2124.46
21,350,2795.33
337,10,401.9
423,16,322.93
110,68,1084.57
556,25,420.25
376,76,1232.95
10,39,641.94
162,44,845.55
10,314,4974.2300000000005
2,1,3861.0
380,62,994.6
434,10,645.0
28,211,3793.71
1,144,2768.83
108,408,5493.29
78,69,1122.41
548,21,161.94
67,15,415.2
395,25,508.91
14,1,0.0
15,15,1550.6499999999999
32,27,383.03
3,24,168.63
187,3,59.5
478,10,296.36
396,20,308.2
204,24,406.76
187,86,1514.81
26,132,2666.91
4,30,1028.0
182,49,1179.79
24,49,454.01
39,143,2765.47
215,229,1803.4
166,6,131.45000000000002
8,623,2500.59
40,157,701.57
84,23,410.48
89,283,4641.66
21,7,110.46
50,1,56.160000000000004
170,98,2038.25
35,205,916.98
389,25,400.06
15,8,122.64
233,17,466.29
723,3,98.30000000000001
53,45,860.41
12,202,1328.35
373,31,439.7
333,16,2193.8999999999996
261,3,77.3
9,320,3559.39
10,1430,6221.02
3,122,7092.610000000001
7,355,5087.86
2,35,417.77
164,28,470.83
63,2,6.2
45,7,179.33999999999997
425,142,2542.79
212,58,1031.07
11,824,14191.74
23,19,291.88
397,13,179.4
46,6,422.58
44,10,573.22
501,8,100.86
390,38,504.14
28,104,1715.46
218,110,1497.33
100,327,16249.87
649,38,595.7
17,209,1450.19
654,13,9530.08
484,8,150.95
8,50,1335.19
29,203,5613.83
493,50,281.26
205,16,389.01
274,62,1189.98
0,76,1239.38
4,227,4618.24
470,19,354.85
21,177,5005.46
38,14,266.89
43,426,7852.61
98,11,271.70000000000005
183,95,1610.59
29,199,1785.1100000000001
404,10,560.14
625,21,273.35
19,176,1082.81
21,223,4293.86
66,344,6486.091
326,46,514.37
57,170,4081.79
19,249,4352.35
418,74,915.28
10,189,3349.57
58,66,794.64
690,6,60.959999999999994
18,274,1728.99
9,1499,35233.24
112,39,734.81
724,27,377.49
42,114,2148.63
262,57,393.45
35,178,5234.0
11,76,1713.09
404,57,1269.05
64,360,2394.36
481,80,1892.52
395,32,226.91
488,72,420.22
40,126,2241.42
52,86,1380.73
17,182,3801.05
23,393,25775.71
9,169,2648.25
219,108,1693.45
71,19,238.25
5,132,798.35
190,128,1986.8
220,18,288.6
395,4,102.6
58,151,3097.64
63,342,11284.76
413,14,190.58
402,12,314.74
596,38,451.73
596,196,815.69
22,271,1971.87
16,360,6679.97
163,24,110.92
680,1,76.32000000000001
11,52,705.79
549,10,105.8
205,75,1433.07
16,164,687.72
269,71,1509.34
428,30,542.49
40,589,3491.2
351,33,671.4300000000001
79,20,322.8
736,48,204.3
57,92,409.8
3,125,16260.07
19,98,636.24
172,105,620.89
67,230,4234.53
723,13,115.3
89,226,3297.9300000000003
7,730,8736.49
658,59,164.69
80,168,6265.33
78,25,415.8
357,10,168.0
9,84,2874.72
52,112,625.9399999999999
436,7,149.75
157,52,16245.78
569,14,198.41000000000003
45,265,4452.02
284,7,176.5
74,34,482.47
21,348,5698.28
7,429,8296.81
2,628,6452.991
9,10,160.18
273,28,312.46
546,9,126.03
332,37,596.12
56,68,522.03
42,22,372.8
262,37,292.47
3,151,2649.14
15,209,1586.6299999999999
141,108,2437.05
8,543,2777.67
19,62,1094.59
58,190,1726.57
586,9,160.5
28,97,2985.13
256,95,11010.05
37,103,1187.21
3,97,13551.75
30,6,3166.4
401,16,130.95
646,10,426.69
428,102,2729.84
431,28,461.68
49,57,871.79
16,221,1015.58
26,251,885.21
1,18,343.5
245,289,1694.86
98,8,786.5699999999999
43,29,821.45
429,13,474.1
508,27,6695.6900000000005
74,400,2896.69
113,16,138.98
575,21,157.35
42,36,539.0
425,26,948.93
689,30,183.20000000000002
109,79,1373.35
169,22,330.11
2,779,7801.93
445,12,111.63
7,111,1904.05
115,77,2196.67
36,132,10513.47
9,16,774.06
568,4,111.0
161,102,2435.48
3,408,8092.32
16,198,5454.95
23,5,758.8199999999999
337,56,341.36
2,23,1843.0
18,79,878.09
28,284,5517.2300000000005
304,1,79.2
176,9,120.9
79,56,1876.23
22,134,1198.28
588,11,340.5
59,129,2687.73
10,138,478.54
3,66,935.05
393,134,1188.46
16,146,2624.26
598,28,445.0
2,163,3109.99
617,60,225.99
60,55,1193.54
60,143,2786.77
414,17,422.8
17,25,199.48000000000002
635,5,375.5
7,458,6324.9800000000005
74,18,6501.5
547,38,639.93
57,16,243.84
52,20,917.34
12,132,876.57
42,42,670.0600000000001
23,291,3365.95
373,11,369.5
77,53,882.23
169,26,503.59999999999997
24,647,9762.77
2,3316,113416.91
29,209,1470.89
689,14,246.75
127,5,62.63999999999999
366,36,1162.0
17,42,1159.11
66,16,373.94
155,37,764.15
381,25,385.46000000000004
688,9,148.22
51,261,4467.66
442,38,165.88
44,73,1076.8
196,266,4497.88
1,48,984.57
53,35,170.22
22,166,6390.36
694,25,381.66
407,22,277.94
198,59,1124.66
25,42,600.07
52,41,797.59
14,52,1403.2
641,18,336.5
317,44,1215.95
1,12,196.89
156,27,513.32
661,10,197.70000000000002
1,507,4173.88
508,3,97.5
473,329,1027.03
261,1,25.5
222,83,1649.81
336,11,1660.35
38,59,994.51
547,1,46.5
130,63,1089.18
33,84,781.91
15,18,614.66
10,129,658.95
242,5,527.78
19,122,525.69
9,34,453.4
10,459,6150.03
94,137,2157.9700000000003
500,73,1310.3400000000001
16,79,887.11
9,337,6935.17
227,119,717.41
256,52,1121.5
421,4,1325.0
407,23,375.34
21,304,1760.49
165,70,1207.35
2,764,33903.57
5,790,5184.84
30,56,949.25
65,10,140.34
88,93,569.96
17,28,494.44
133,7,115.8
159,12,156.91
85,262,1560.46
414,26,515.78
583,69,1131.45
308,1,550.8000000000001
32,282,2016.98
86,40,1332.79
29,40,945.04
11,13,245.1
11,140,1133.44
416,431,4466.65
40,203,1236.39
248,28,1462.78
115,141,5955.81
515,27,161.13
677,8,91.14
389,41,258.65
4,1089,16425.86
155,32,331.58
57,9,187.82999999999998
428,15,458.45
26,199,3048.38
1,256,33750.97
119,148,3434.9300000000003
432,22,438.46
253,57,817.25
60,108,2155.95
38,656,7205.33
123,478,1928.93
123,838,7996.87
652,41,4376.25
213,16,426.6
628,7,381.0
374,123,1087.05
22,273,3486.15
122,47,804.02
22,23,2180.76
15,167,3285.31
15,490,30291.76
10,97,1345.06
275,8,618.63
274,7,101.34
177,230,1101.44
22,33,957.53
24,45,1748.42
201,16,2615.6
107,18,213.55
29,91,1455.8700000000001
628,18,917.6999999999999
465,74,280.7
571,14,229.75
481,1,305.28000000000003
407,4,106.80000000000001
17,45,1352.75
31,295,6911.4400000000005
254,47,848.8100000000001
89,209,3460.32
137,159,1715.1399999999999
36,47,776.7
108,177,3390.4300000000003
